,StartDate,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q3_4_TEXT,Q22,Q22_7_TEXT,Q4,Q5,Q6,Q6_5_TEXT,Q7,Q9,Q9_7_TEXT,Q20,Q20_5_TEXT,Q10,Q11,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q24_1,Q15
534,2024-11-12 08:06:57,I would like to complete:,I would like to complete:,,,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,I did not face any barriers,,Physics,Research 
535,2024-11-12 08:07:52,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,School of Data Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Lack of networking connections,,Data Science,Data Engineer
536,2024-11-12 08:06:54,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,Currently applying to a specific school,I have completed an internship,,1,Career Services - Handshake,,,,Yes,Remote/Online,"Learned more about the industry,Developed relevant skills,Made industry connections",,Did not have confidence in interviews,,Economics ,Consulting
537,2024-11-12 08:07:22,I would like to complete:,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,"Difficult to find opportunities in my field,Did not know how to navigate the internship search,Did not have confidence in interviews",,Economics and History,Investment Banking
538,2024-11-12 08:06:24,I have completed:,,,I have completed:,Fourth Year,,I have accepted a job,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Career Services - Handshake,Other - Please describe:",Policy Internship Program,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Did not have the proper skills,Could not consider unpaid internships",,Systems Engineering,Consulting 
539,2024-11-12 08:06:49,,I would like to complete:,I would like to complete:,I have completed:,Second Year,,,,Yes,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,nursing,nursing
540,2024-11-12 08:07:06,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Did not know how to navigate the internship search,,Computer Science (BA) in the College of Arts & Sciences,Software Engineering
541,2024-11-12 08:06:56,,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Global Security and Justice,"foreign service, politics, law "
542,2024-11-12 08:06:36,I would like to complete:,I would like to complete:,I have completed:,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Aerospace Engineering,"Military, defense contracting, or continued education"
543,2024-11-12 08:07:19,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,1,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Computer Science,Software Engineering
544,2024-11-12 08:07:43,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Pre-Comm,Finance
545,2024-11-12 08:07:12,I would like to complete:,I would like to complete:,,,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Previous Employment (Internship)",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do",,Did not know how to navigate the internship search,,Mechanical Engineering,Nuclear energy
546,2024-11-12 08:07:23,I have completed:,I have completed:,,I have completed:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,2,Other - Please describe:,In person,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills",,"Difficult to find opportunities in my field,Lack of networking connections",,Computer Science,Gameplay Programming
547,2024-11-12 08:06:18,I have completed:,I would like to complete:,,,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,Career Services - Handshake,,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Economics and Environmental Thought & Practice,Environmental Economist 
548,2024-11-12 08:06:52,I would like to complete:,,,I would like to complete:,Second Year,,,,Yes,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections",,Computer Science (BS) in Engineering,Game design 
549,2024-11-12 08:06:50,I have completed:,I have completed:,I have completed:,,Fourth Year,,I am applying to graduate or professional school,,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Other,Personal Contact /Direct Correspondence - Family & Friends",,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections",,Interdisciplinary - Cognitive Science,Medicine 
550,2024-11-12 08:05:07,,I have completed:,I would like to complete:,I would like to complete:,Third Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Could not consider unpaid internships",,Interdisciplinary - Neuroscience and Spanish,Medical School
551,2024-11-12 08:07:20,I have completed:,I have completed:,I have completed:,,Third Year,,,,No,School of Education and Human Development,I have completed an internship,,2,Personal Contact/Direct Correspondence - Faculty,,,,Yes,In Virginia,"Developed relevant skills,Figured out what I want to do",,I did not face any barriers,,Kinesiology,Pre med
552,2024-11-12 08:06:04,,I have completed:,,I would like to complete:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,Batten School of Leadership and Public Policy,I have completed an internship,,1,Career Services - Handshake,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"I did not face any barriers,Could not consider unpaid internships",,Leadership and Public Policy,Working as a paralegal
553,2024-11-12 08:07:28,I have completed:,I would like to complete:,,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Applying to Comm and Global Sustainability,"Impact Investing, ESG, Environmental Consulting "
554,2024-11-12 08:06:31,,,,,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,Could not consider unpaid internships,,"Finance & Accounting, Italian Double Major",Pursuing a career in finance
555,2024-11-12 08:07:08,I would like to complete:,I would like to complete:,,,Third Year,,,,No,College of Arts and Sciences,I have accepted an offer for an internship I will be completing,,,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,economics ,consulting 
556,2024-11-12 08:07:24,I have completed:,I would like to complete:,,I have completed:,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"Difficult to find opportunities in my field,Lack of networking connections,Did not have the proper skills",,Aerospace Engineering,Aviation/aeronautical industry
557,2024-11-12 08:06:52,,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I can't identify a suitable internship focus,,,,,,,,Politics,International relations or comparative politics
558,2024-11-12 08:07:53,I would like to complete:,I have completed:,,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,Interdisciplinary - Cognitive Science,Entrepreneurship 
559,2024-11-12 08:07:32,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Pre-Commerce,Consulting
560,2024-11-12 08:06:13,I would like to complete:,,,I have completed:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,Yes,College of Arts and Sciences,I have completed an internship,,2,Personal Contact /Direct Correspondence - Family & Friends,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Media Studies,Marketing
561,2024-11-12 08:06:08,I would like to complete:,I have completed:,,I would like to complete:,Fourth Year,,I have accepted a job,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Systems Engineering ,Soft
562,2024-11-12 08:07:16,I would like to complete:,,,I would like to complete:,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"I did not face any barriers,Difficult to find opportunities in my field,Lack of networking connections",,Commerce ,Investment banking 
563,2024-11-12 08:06:44,I have completed:,I would like to complete:,,,Third Year,,,,No,McIntire School of Commerce,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,Yes,,,,"Lack of networking connections,Did not know how to navigate the internship search",,"Commerce, Statistics","Business Analytics, Consulting"
564,2024-11-12 08:07:27,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Third Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Did not know how to navigate the internship search,,Biology,Medicine 
565,2024-11-12 08:07:33,I have completed:,I have completed:,I have completed:,I have completed:,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,3+,"Career Services - Handshake,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Lack of networking connections,Could not consider unpaid internships",,Commerce,Investment Banking
566,2024-11-12 08:07:17,,I would like to complete:,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Remote/Online,"Learned more about the industry,Developed relevant skills,Figured out what I want to do",,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Computer Science (BA) in the College of Arts & Sciences,Software Engineer
567,2024-11-12 08:07:28,I would like to complete:,I have completed:,,I have completed:,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,3+,Personal Contact/Direct Correspondence - Other,,,,No,Remote/Online,"Figured out what I want to do,Figured out what I don't want to do",,I did not face any barriers,,Aerospace Engineering,Professor
568,2024-11-12 08:05:49,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Third Year,,,,Yes,College of Arts and Sciences,Other - Please describe:,Looking for an internship ,,,,,,,,,,,,Biology,Physical therapy 
569,2024-11-12 08:07:35,I would like to complete:,,,I have completed:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,McIntire School of Commerce,I have completed an internship,,3+,"Career Services - Handshake,Personal Contact/Direct Correspondence - Alumni",,,,Yes,Outside Virginia,"Developed relevant skills,Figured out what I want to do,Made industry connections",,I did not face any barriers,,Commerce,Investment Banking
570,2024-11-12 08:07:53,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Biomedical Engineering,Medical School
571,2024-11-12 08:07:04,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,Yes,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Aerospace Engineering,Engineering 
572,2024-11-12 08:06:52,I would like to complete:,I have completed:,,,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Computer Science (BS) in Engineering,Data science/software engineering
573,2024-11-12 08:06:59,I have completed:,I have completed:,I would like to complete:,,Fourth Year,,It has been hard to find job opportunities in my area of interest,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Career Services - Other,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections",,Biomedical Engineering,Medical Device R&D
574,2024-11-12 08:06:34,I have completed:,,,,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,2,"Career Services - Handshake,Personal Contact /Direct Correspondence - Family & Friends,Personal Contact/Direct Correspondence - Alumni",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,I did not face any barriers,,Finance and Management,Finance
575,2024-11-12 08:04:48,I would like to complete:,I would like to complete:,,,Third Year,,,,No,Batten School of Leadership and Public Policy,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search",,Public Policy and Leadership,Government national security
576,2024-11-12 08:07:55,I would like to complete:,I would like to complete:,,I have completed:,Third Year,,,,Yes,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills,Could not consider unpaid internships",,Mechanical Engineering,Propulsion Engineering
577,2024-11-12 08:07:16,,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Psychology,Clinical psychology 
578,2024-11-12 08:07:54,,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Biology,Dentistry
579,2024-11-12 08:07:30,I would like to complete:,I have completed:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Career Services - Handshake,Career Services - Career Fair,Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Computer Science,Software engineering
580,2024-11-12 08:07:18,I would like to complete:,I would like to complete:,,I would like to complete:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Mechanical Engineering,Mechanical Engineering 
581,2024-11-12 08:07:47,I would like to complete:,,I have completed:,,Fourth Year,,I am applying to graduate or professional school,,Yes,College of Arts and Sciences,I have completed an internship,,2,Career Services - Handshake,,,,No,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do",,Did not have confidence in interviews,,Biology,Public Health Consultant 
582,2024-11-12 08:07:22,,,,I have completed:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,McIntire School of Commerce,I have completed an internship,,3+,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Advertisement - Social Media, Website, Listserv",,,,Yes,In Virginia,"Learned more about the industry,Figured out what I don't want to do",,"Lack of networking connections,Did not know how to navigate the internship search,Could not consider unpaid internships",,Marketing and IT,Marketing Analytics
583,2024-11-12 08:06:26,I would like to complete:,I have completed:,,I have completed:,Fourth Year,,It has been hard to find job opportunities in my area of interest,,No,College of Arts and Sciences,I have completed an internship,,2,"Personal Contact /Direct Correspondence - Family & Friends,Other - Please describe:",decarbonization academy ,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search,Did not have the proper skills",,Biology,Conservation 
584,2024-11-12 08:07:49,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search,Did not have the proper skills",,Computer Science (BS) in Engineering,Software Engineer
585,2024-11-12 08:07:52,I would like to complete:,I would like to complete:,I would like to complete:,I have completed:,Second Year,,,,Yes,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I can't identify a suitable internship focus,,,,,,,,Biology,Grad School
586,2024-11-12 08:07:04,I would like to complete:,I would like to complete:,I would like to complete:,I would like to complete:,Second Year,,,,Yes,Currently applying to a specific school,I have accepted an offer for an internship I will be completing,,,"Career Services - Handshake,Advertisement - Social Media, Website, Listserv",,,,No,,,,"Did not have confidence in interviews,Other - Please describe:",sponsorship,Commerce,marketing
587,2024-11-12 08:07:31,I have completed:,,,,Second Year,,,,No,Currently applying to a specific school,I have completed an internship,,2,"Career Services - Handshake,Online Resources - LinkedIn, Indeed, Glassdoor, Other,Advertisement - Social Media, Website, Listserv,Personal Contact /Direct Correspondence - Family & Friends,Personal Contact/Direct Correspondence - Faculty,Personal Contact/Direct Correspondence - Alumni,Personal Contact/Direct Correspondence - Other",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,I did not face any barriers,,Economics,"Hedge Fund, Private Equity "
588,2024-11-12 08:06:23,I would like to complete:,,,I would like to complete:,Second Year,,,,No,College of Arts and Sciences,Other - Please describe:,"I would love to complete an internship; however, because I am unsure about my direction of study, I don't really know where to begin. But I think hands on experience in any field could be really helpful in deciding what I want to do. ",,,,,,,,,,,,Undecided,Travel Agent or Travel Journalism 
589,2024-11-12 08:07:06,I would like to complete:,I would like to complete:,,I would like to complete:,Fourth Year,,I have been busy with classes and plan to start my job search over winter break or in the Spring,,No,College of Arts and Sciences,I have completed an internship,,2,"Career Services - Other,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections",,I did not face any barriers,,"Interdisciplinary - Political Philosophy, Policy, and Law and Economics",Capitol Hill
590,2024-11-12 08:07:42,I have completed:,I have completed:,,I would like to complete:,Fourth Year,,I have accepted a job,,No,College of Arts and Sciences,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills",,"Difficult to find opportunities in my field,Could not consider unpaid internships",,Computer Science,Quant/SWE
591,2024-11-12 08:06:26,I would like to complete:,I would like to complete:,,,Other: (please describe),Third year transfer student ,,,Yes,School of Continuing and Professional Studies,I have no current plans to seek an internship,,,,,I need to work and can't afford to take off time for an internship,,,,,,,,Early Childhood Education ,"Preschool teacher, curriculum specialist "
592,2024-11-12 08:06:42,,I have completed:,,I have completed:,Fourth Year,,I have been interviewing,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other,Advertisement - Social Media, Website, Listserv,Personal Contact /Direct Correspondence - Family & Friends",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,"Lack of networking connections,Other - Please describe:","Internship search is incredibly difficult, UVA seriously needs to do a better job of helping its students. the only reason I had an intership last summer was because I cold applied to over 75 internship postings and got 1 final round interview that ended up being my job.",Chemical Engineering,Renewable Energies
593,2024-11-12 08:07:22,I would like to complete:,,,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I have completed an internship,,1,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,Lack of networking connections,,Pre commerce,Start ups
594,2024-11-12 08:06:51,I would like to complete:,I would like to complete:,,,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search,Did not have the proper skills",,Government ,Federal Judge
595,2024-11-12 08:07:34,I would like to complete:,I would like to complete:,,,Second Year,,,,No,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,I did not face any barriers,,Systems Engineering,"Data Analytics, Applied Mathematics"
596,2024-11-12 08:07:08,I would like to complete:,I would like to complete:,,I would like to complete:,Fourth Year,,I have accepted a job,,No,College of Arts and Sciences,I have completed an internship,,3+,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Did not know how to navigate the internship search,Did not have confidence in interviews",,Economics ,Accounting/Audit
597,2024-11-12 08:08:20,,I have completed:,I have completed:,I have completed:,Fourth Year,,I have been interviewing,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,Biology,Medicine
598,2024-11-12 08:07:25,,I have completed:,,I have completed:,Fourth Year,,I am applying to graduate or professional school,,Yes,College of Arts and Sciences,I have completed an internship,,1,"Advertisement - Social Media, Website, Listserv",,,,Yes,Outside Virginia,"Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do",,"I did not face any barriers,Could not consider unpaid internships",,Sociology,Data science
599,2024-11-12 08:08:03,I would like to complete:,I have completed:,I would like to complete:,I have completed:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Lack of networking connections,Did not know how to navigate the internship search",,Psychology,Psychological Research
600,2024-11-12 08:07:38,I would like to complete:,I would like to complete:,I would like to complete:,I have completed:,Third Year,,,,Yes,School of Engineering and Applied Science,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,Did not know how to navigate the internship search,,Electrical Engineering,PCB Design
601,2024-11-12 08:07:45,I would like to complete:,I would like to complete:,,I have completed:,Second Year,,,,No,School of Engineering and Applied Science,I have accepted an offer for an internship I will be completing,,,Career Services - Handshake,,,,Yes,,,,"Difficult to find opportunities in my field,Lack of networking connections,Could not consider unpaid internships",,Mechanical Engineering,Mechanical engineer
602,2024-11-12 08:07:57,I would like to complete:,I would like to complete:,I would like to complete:,I have completed:,Second Year,,,,No,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Difficult to find opportunities in my field,Did not know how to navigate the internship search",,Applied Statistics,Data Analyst or consultant
603,2024-11-12 08:07:25,I would like to complete:,I would like to complete:,,I would like to complete:,Fourth Year,,I have put in a lot of applications and I am not getting interviews,,Yes,Batten School of Leadership and Public Policy,I have completed an internship,,2,Career Services - Career Fair,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not have confidence in interviews",,Public Policy and Leadership,Public Sector Consulting/Public Policy Analyst
604,2024-11-12 08:07:56,I would like to complete:,I would like to complete:,,,Third Year,,,,No,McIntire School of Commerce,I have completed an internship,,2,"Online Resources - LinkedIn, Indeed, Glassdoor, Other",,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Difficult to find opportunities in my field,Lack of networking connections,Did not have confidence in interviews",,Computer Science (BA) in the College of Arts & Sciences,Software Engineering
605,2024-11-12 08:07:53,I would like to complete:,I have completed:,I have completed:,I have completed:,Third Year,,,,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I need to work and can't afford to take off time for an internship,,,,,,,,biochemistry,medical school
606,2024-11-12 08:06:05,I would like to complete:,,,I have completed:,Fourth Year,,I have accepted a job,,Yes,College of Arts and Sciences,I have completed an internship,,2,Career Services - Career Fair,,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Made industry connections,Other - Please describe:",I got a return offer for a post-grad job!,"Lack of networking connections,Could not consider unpaid internships,Other - Please describe:","Being out of state, it was harder to navigate opportunities that gave me no moving assistance",Computer Science,"Data Analysis, Data Science, Software Engineering,"
607,2024-11-12 08:06:22,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,Yes,School of Engineering and Applied Science,I have completed an internship,,1,Other - Please describe:,Through an external source,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Made industry connections",,"Difficult to find opportunities in my field,Did not know how to navigate the internship search,Could not consider unpaid internships",,Biomedical Engineering,Pharmaceuticals or Medical Device
608,2024-11-12 08:07:41,I have completed:,,,I have completed:,Third Year,,,,No,School of Engineering and Applied Science,I have completed an internship,,2,"Career Services - Handshake,Previous Employment (Internship),Personal Contact/Direct Correspondence - Faculty",,,,Yes,In Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I want to do,Figured out what I don't want to do,Made industry connections",,"Lack of networking connections,Did not have confidence in interviews,Could not consider unpaid internships",,Systems Engineering,Product Management 
609,2024-11-12 08:07:19,,I have completed:,I would like to complete:,I have completed:,Fourth Year,,Other - Please describe:,Accepted into graduate programs,No,College of Arts and Sciences,I have no current plans to seek an internship,,,,,I am a Fourth Year and I am focused on my plans for after graduation,,,,,,,,Psychology ,Therapy
610,2024-11-12 08:08:10,I would like to complete:,I have completed:,I would like to complete:,I have completed:,Second Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not have confidence in interviews,Did not have the proper skills",,Cognitive Science ,Medicine
611,2024-11-12 08:06:16,I would like to complete:,,,I would like to complete:,Second Year,,,,No,Currently applying to a specific school,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Other - Please describe:",Most companies want to hire third years but I will lack experience if I wait until then to apply ,Pre commerce ,Law/law-related role in the financial services industry 
612,2024-11-12 08:08:04,I would like to complete:,I would like to complete:,,I would like to complete:,Third Year,,,,Yes,College of Arts and Sciences,I am pursuing an internship but have not received an offer yet,,,,,,,,,,,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews,Did not have the proper skills",,Computer Science,Software engineering
613,2024-11-12 08:07:58,I have completed:,,,I would like to complete:,Fourth Year,,I have accepted a job,,No,McIntire School of Commerce,I have completed an internship,,2,Career Services - Handshake,,,,Yes,Outside Virginia,"Learned more about the industry,Developed relevant skills,Figured out what I don't want to do",,"Lack of networking connections,Did not know how to navigate the internship search,Did not have confidence in interviews",,Commerce,Finance 
